|id |titulo                                             |descricao                                          |data_inicio                  |data_fim                     |ativo|createdAt                    |updatedAt                    |id_subcategoria_produto|id_categoria_produto|precisa_cadastro_completo|id_campanha|
|78 |- Queijo Camembert                                 |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:49.389 -0300|2025-06-25 16:29:49.389 -0300|201                    |30                  |true                     |           |
|79 |- Queijo Emmental                                  |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:49.632 -0300|2025-06-25 16:29:49.632 -0300|202                    |30                  |true                     |           |
|80 |- Queijo Estepe                                    |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:49.867 -0300|2025-06-25 16:29:49.867 -0300|203                    |30                  |true                     |           |
|81 |- Queijo Gouda                                     |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:50.110 -0300|2025-06-25 16:29:50.110 -0300|204                    |30                  |true                     |           |
|82 |- Queijo Gruyère                                   |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:50.358 -0300|2025-06-25 16:29:50.358 -0300|205                    |30                  |true                     |           |
|83 |- Queijo Prato                                     |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:50.602 -0300|2025-06-25 16:29:50.602 -0300|206                    |30                  |true                     |           |
|84 |- Queijo Grana                                     |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:50.882 -0300|2025-06-25 16:29:50.882 -0300|187                    |30                  |true                     |           |
|85 |- Queijo Coalho                                    |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:51.132 -0300|2025-06-25 16:29:51.132 -0300|181                    |30                  |true                     |           |
|86 |- Queijo Fundido                                   |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:51.379 -0300|2025-06-25 16:29:51.379 -0300|184                    |30                  |true                     |           |
|87 |- Queijo Reino                                     |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:51.620 -0300|2025-06-25 16:29:51.620 -0300|364                    |30                  |true                     |           |
|88 |- Queijo Suíço                                     |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:51.868 -0300|2025-06-25 16:29:51.868 -0300|404                    |30                  |true                     |           |
|89 |- Queijo Ricota                                    |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:52.279 -0300|2025-06-25 16:29:52.279 -0300|405                    |30                  |true                     |           |
|90 |- Almôndega Vegetal                                |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:53:58.109 -0300|2025-06-25 16:53:58.109 -0300|256                    |31                  |true                     |           |
|91 |- Atum de Plantas                                  |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:53:58.349 -0300|2025-06-25 16:53:58.349 -0300|257                    |31                  |true                     |           |
|92 |- Hambúrguer Vegetal                               |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:53:58.594 -0300|2025-06-25 16:53:58.594 -0300|258                    |31                  |true                     |           |
|93 |- Carne Moída Vegetal                              |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:53:58.842 -0300|2025-06-25 16:53:58.842 -0300|259                    |31                  |true                     |           |
|94 |- Nuggets Vegetal                                  |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:53:59.089 -0300|2025-06-25 16:53:59.089 -0300|260                    |31                  |true                     |           |
|95 |- Salgado Congelado Vegetal                        |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:53:59.321 -0300|2025-06-25 16:53:59.321 -0300|261                    |31                  |true                     |           |
|97 |- Sanduíche Vegetal                                |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:53:59.814 -0300|2025-06-25 16:53:59.814 -0300|386                    |31                  |true                     |           |
|98 |- Bife Vegetal                                     |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:54:00.064 -0300|2025-06-25 16:54:00.064 -0300|396                    |31                  |true                     |           |
|99 |- Cubinho Vegetal                                  |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:54:00.321 -0300|2025-06-25 16:54:00.321 -0300|398                    |31                  |true                     |           |
