|id   |gtin_ean     |nome                                                                                                   |
|6.649|7898064011802|IOGURTE PARCIALMENTE DESNATADO MORANGO ZERO LACTOSE BETÂNIA YOBEM WHEY SQUEEZE 160G                    |
|6.650|7898205924770|IOGURTE PARCIALMENTE DESNATADO AMEIXA VERDE CAMPO PROBIÓTICO GARRAFA 500G                              |
|6.651|7898205924824|IOGURTE PARCIALMENTE DESNATADO MORANGO VERDE CAMPO PROBIÓTICO FRASCO 170G                              |
|6.652|7896259420118|LEITE CONDENSADO SEMIDESNATADO CAMPONESA PROFISSIONAL PACOTE 5KG                                       |
|6.653|7898403780932|IOGURTE PARCIALMENTE DESNATADO FRUTAS VERMELHAS BETÂNIA GARRAFA 900G                                   |
|6.654|7898403780659|IOGURTE PARCIALMENTE DESNATADO MORANGO BETÂNIA GARRAFA 900G                                            |
|6.655|7898403782011|LEITE UHT SEMIDESNATADO ZERO LACTOSE BETÂNIA CAIXA COM TAMPA 1L                                        |
|6.656|7898403780338|LEITE UHT SEMIDESNATADO BETÂNIA CAIXA 1L                                                               |
|6.657|7898205923797|QUEIJO MUSSARELA LIGHT VERDE CAMPO                                                                     |
|6.658|7896259421719|LEITE UHT DESNATADO ZERO LACTOSE CAMPONESA PROTEÍNA CAIXA COM TAMPA 1L                                 |
|6.659|7898403782233|BEBIDA LÁCTEA UHT FARINHA LÁCTEA BETÂNIA CAIXA 1L                                                      |
|6.660|7898950516138|PACK BEBIDA LÁCTEA UHT CHOCOLATE TURMA DA MÔNICA BETÂNIA KIDS CAIXA 1,8L LEVE 9 PAGUE 8 UNIDADES       |
|6.661|7896259426363|DOCE DE LEITE CAMPONESA PROFISSIONAL BALDE 4,6KG                                                       |
|6.662|7898598750642|QUEIJO COALHO EM CUBOS TRADICIONAL QUATÁ POP CHEESE 100G                                               |
|6.663|7896279600217|MARGARINA SEM SAL 80% DE GORDURA COAMO PROFISSIONAL BALDE 14,5KG                                       |
|6.664|7896279600200|MARGARINA COM SAL 80% DE GORDURA COAMO PROFISSIONAL BALDE 14,5KG                                       |
|6.665|7898205923919|IOGURTE DESNATADO MORANGO ZERO LACTOSE VERDE CAMPO LACFREE COPO 140G                                   |
|6.666|7891331018283|BARRA DE PROTEÍNA CHOCOLATE COBERTURA CHOCOLATE AO LEITE NUTRY CRISPY PROTEIN PACOTE 30G               |
|6.667|7891331850074|BARRA DE PROTEÍNA BOMBOM DE COCO NUTRY CRISPY PROTEIN PACOTE 30G                                       |
|6.668|7898598750659|QUEIJO COALHO EM CUBOS PICANTE QUATÁ POP CHEESE 100G                                                   |
|6.669|7898598750109|FONDUE DE QUEIJO GORGONZOLA QUATÁ CAIXA 400G                                                           |
|6.670|7898598750062|CREME DE QUEIJO TRADICIONAL QUATÁ COPO 180G                                                            |
|6.671|7896183201357|BEBIDA LÁCTEA UHT CHOCOLATE QUATÁ CAIXA 1L                                                             |
|6.672|7898598750499|BEBIDA LÁCTEA UHT CHOCOLATE QUATÁ CAIXA 1L                                                             |
|6.673|7898403782370|BEBIDA LÁCTEA UHT FARINHA LÁCTEA BETÂNIA CAIXA 200ML                                                   |
|6.674|7898403781014|BEBIDA LÁCTEA FERMENTADA AMEIXA BETÂNIA BAT GUT PACOTE 900G                                            |
|6.675|7898403780635|IOGURTE PARCIALMENTE DESNATADO AMEIXA BETÂNIA GARRAFA 900G                                             |
|6.676|7898403780031|BEBIDA LÁCTEA UHT CHOCOLATE BETÂNIA CAIXA 1L                                                           |
|6.677|7896183201371|BEBIDA LÁCTEA UHT VITAMINA QUATÁ KIDS CAIXA 200ML                                                      |
|6.678|7908228806219|BALA DE GELATINA SORTIDA RATO FINI PACOTE 80G                                                          |
|6.679|7908228808152|BALA DE GELATINA SORTIDA FAZENDO ARTE FINI PACOTE 80G                                                  |
|6.680|7896183201241|CREAM CHEESE QUATÁ BISNAGA 1,2KG                                                                       |
|6.681|7891331014490|PACK BARRA DE CEREAL CASTANHA_DE_CAJU COBERTURA CHOCOLATE NUTRY PACOTE 66G 3 UNIDADES                  |
|6.682|7896691104218|IOGURTE INTEGRAL ABACAXI E COCO CAROLINA PEDAÇOS COPO 100G                                             |
|6.683|7898205924800|IOGURTE PARCIALMENTE DESNATADO MAÇÃ, BANANA E MAMÃO VERDE CAMPO PROBIÓTICO FRASCO 170G                 |
|6.684|7896183202217|FONDUE DE QUEIJO GRUYÈRE QUATÁ CAIXA 400G                                                              |
|6.685|7896279601351|FARINHA DE TRIGO TIPO 1 PARA PANIFICAÇÃO COAMO SACO 25KG                                               |
|6.686|7896279600668|FARINHA DE TRIGO TIPO 1 TRADICIONAL COAMO PACOTE 1KG                                                   |
|6.687|7896279600354|FARINHA DE TRIGO TIPO 1 TRADICIONAL COAMO PACOTE 1KG                                                   |
