|id |id_usuario|pontos|tipo_origem          |origem_id|data_expiracao               |observacoes                                                                                                                                                     |createdAt                    |updatedAt                    |status  |
|38 |27.558    |50    |pesquisa_subcategoria|104      |2026-12-14 23:48:32.181 -0300|Pontos ganhos por responder questionário - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-14 23:48:32.181 -0300|2025-12-17 18:03:13.299 -0300|pendente|
|39 |27.558    |55    |pesquisa_produto     |214      |2026-12-14 23:48:32.421 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-14 23:48:32.421 -0300|2025-12-17 18:03:13.310 -0300|pendente|
|40 |27.558    |50    |bonus                |         |2026-12-14 23:49:02.787 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-14 23:49:02.788 -0300|2025-12-17 18:03:13.321 -0300|pendente|
|41 |27.558    |50    |pesquisa_subcategoria|311      |2026-12-14 23:52:11.374 -0300|Pontos ganhos por responder questionário - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-14 23:52:11.375 -0300|2025-12-17 18:03:13.332 -0300|pendente|
|42 |27.558    |55    |pesquisa_produto     |70       |2026-12-14 23:52:11.588 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-14 23:52:11.588 -0300|2025-12-17 18:03:13.343 -0300|pendente|
|43 |27.558    |50    |bonus                |         |2026-12-14 23:52:51.712 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-14 23:52:51.713 -0300|2025-12-17 18:03:13.356 -0300|pendente|
|44 |27.558    |50    |pesquisa_subcategoria|29       |2026-12-14 23:58:38.872 -0300|Pontos ganhos por responder questionário - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-14 23:58:38.872 -0300|2025-12-17 18:03:13.366 -0300|pendente|
|75 |27.558    |50    |bonus                |         |2026-12-16 16:44:56.783 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:44:56.783 -0300|2025-12-17 18:03:32.364 -0300|pendente|
|45 |27.558    |55    |pesquisa_produto     |42       |2026-12-14 23:58:39.091 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-14 23:58:39.092 -0300|2025-12-17 18:03:13.376 -0300|pendente|
|46 |27.558    |50    |bonus                |         |2026-12-14 23:59:05.680 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-14 23:59:05.680 -0300|2025-12-17 18:03:13.386 -0300|pendente|
|47 |27.558    |55    |pesquisa_produto     |42       |2026-12-15 00:04:15.905 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-15 00:04:15.906 -0300|2025-12-17 18:03:13.397 -0300|pendente|
|48 |27.558    |50    |bonus                |         |2026-12-15 00:04:37.763 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-15 00:04:37.763 -0300|2025-12-17 18:03:13.407 -0300|pendente|
|49 |27.558    |50    |pesquisa_subcategoria|30       |2026-12-15 00:07:02.706 -0300|Pontos ganhos por responder questionário - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-15 00:07:02.706 -0300|2025-12-17 18:03:13.417 -0300|pendente|
|50 |27.558    |55    |pesquisa_produto     |187      |2026-12-15 00:07:02.944 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-15 00:07:02.944 -0300|2025-12-17 18:03:13.432 -0300|pendente|
|51 |27.558    |50    |bonus                |         |2026-12-15 00:07:29.723 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-15 00:07:29.723 -0300|2025-12-17 18:03:13.443 -0300|pendente|
|52 |27.558    |50    |pesquisa_subcategoria|196      |2026-12-15 00:13:41.841 -0300|Pontos ganhos por responder questionário - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-15 00:13:41.841 -0300|2025-12-17 18:03:13.456 -0300|pendente|
|53 |27.558    |55    |pesquisa_produto     |114      |2026-12-15 00:13:42.114 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-15 00:13:42.114 -0300|2025-12-17 18:03:13.468 -0300|pendente|
|54 |27.558    |50    |bonus                |         |2026-12-15 00:14:07.889 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-15 00:14:07.889 -0300|2025-12-17 18:03:13.480 -0300|pendente|
|102|27.558    |20    |pesquisa_subcategoria|275      |2026-12-16 16:44:35.573 -0300|Resgate de benefício: Benefício (ID: 1) - Pontos bloqueados de registro 73                                                                                      |2025-12-17 18:03:13.502 -0300|2025-12-17 18:03:13.502 -0300|pendente|
|73 |27.558    |30    |pesquisa_subcategoria|275      |2026-12-16 16:44:35.573 -0300|Pontos ganhos por responder questionário - 50 pontos - Pontos parciais restantes após bloqueio - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)|2025-12-16 16:44:35.573 -0300|2025-12-17 18:03:32.330 -0300|pendente|
|74 |27.558    |55    |pesquisa_produto     |321      |2026-12-16 16:44:35.855 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:44:35.856 -0300|2025-12-17 18:03:32.347 -0300|pendente|
|76 |27.558    |50    |pesquisa_subcategoria|194      |2026-12-16 16:47:18.790 -0300|Pontos ganhos por responder questionário - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:47:18.790 -0300|2025-12-17 18:03:32.374 -0300|pendente|
|77 |27.558    |55    |pesquisa_produto     |209      |2026-12-16 16:47:18.978 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:47:18.978 -0300|2025-12-17 18:03:32.392 -0300|pendente|
|78 |27.558    |50    |bonus                |         |2026-12-16 16:47:42.614 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:47:42.614 -0300|2025-12-17 18:03:32.406 -0300|pendente|
|79 |27.558    |50    |pesquisa_subcategoria|181      |2026-12-16 16:50:08.820 -0300|Pontos ganhos por responder questionário - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:50:08.820 -0300|2025-12-17 18:03:32.420 -0300|pendente|
|80 |27.558    |55    |pesquisa_produto     |225      |2026-12-16 16:50:09.010 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:50:09.010 -0300|2025-12-17 18:03:32.434 -0300|pendente|
|81 |27.558    |50    |bonus                |         |2026-12-16 16:50:45.053 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:50:45.053 -0300|2025-12-17 18:03:32.446 -0300|pendente|
|82 |27.558    |50    |pesquisa_subcategoria|201      |2026-12-16 16:55:29.566 -0300|Pontos ganhos por responder questionário - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:55:29.566 -0300|2025-12-17 18:03:32.463 -0300|pendente|
|83 |27.558    |55    |pesquisa_produto     |307      |2026-12-16 16:55:29.758 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:55:29.758 -0300|2025-12-17 18:03:32.473 -0300|pendente|
|84 |27.558    |50    |bonus                |         |2026-12-16 16:55:58.257 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:55:58.257 -0300|2025-12-17 18:03:32.494 -0300|pendente|
|85 |27.558    |50    |pesquisa_subcategoria|170      |2026-12-16 16:58:56.939 -0300|Pontos ganhos por responder questionário - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:58:56.939 -0300|2025-12-17 18:03:32.505 -0300|pendente|
|86 |27.558    |55    |pesquisa_produto     |99       |2026-12-16 16:58:57.164 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:58:57.164 -0300|2025-12-17 18:03:32.519 -0300|pendente|
|87 |27.558    |50    |bonus                |         |2026-12-16 16:59:26.664 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 16:59:26.664 -0300|2025-12-17 18:03:32.532 -0300|pendente|
|88 |27.558    |50    |pesquisa_subcategoria|307      |2026-12-16 19:07:14.094 -0300|Pontos ganhos por responder questionário - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 19:07:14.094 -0300|2025-12-17 18:03:32.545 -0300|pendente|
|89 |27.558    |55    |pesquisa_produto     |205      |2026-12-16 19:07:14.278 -0300|Pontos ganhos por responder questionário - 55 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 19:07:14.278 -0300|2025-12-17 18:03:32.557 -0300|pendente|
|90 |27.558    |50    |bonus                |         |2026-12-16 19:07:27.406 -0300|Pontos extras por comentar após pesquisa - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-16 19:07:27.406 -0300|2025-12-17 18:03:32.578 -0300|pendente|
|95 |27.558    |50    |pesquisa_subcategoria|286      |2026-12-17 17:56:55.201 -0300|Pontos ganhos por responder questionário - 50 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                          |2025-12-17 17:56:55.201 -0300|2025-12-17 18:03:32.594 -0300|pendente|
|96 |27.558    |15    |pesquisa_produto     |107      |2026-12-17 17:56:55.453 -0300|Pontos ganhos por responder questionário - 55 pontos - Pontos parciais restantes após bloqueio                                                                  |2025-12-17 17:56:55.453 -0300|2025-12-17 18:03:32.604 -0300|ativo   |
|103|27.558    |40    |pesquisa_produto     |107      |2026-12-17 17:56:55.453 -0300|Resgate de benefício: Benefício (ID: 1) - Pontos bloqueados de registro 96                                                                                      |2025-12-17 18:03:32.615 -0300|2025-12-17 18:03:32.615 -0300|pendente|
|104|27.558    |50    |pesquisa_subcategoria|263      |2026-12-17 18:05:42.971 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-17 18:05:42.971 -0300|2025-12-17 18:05:42.971 -0300|ativo   |
|105|27.558    |55    |pesquisa_produto     |49       |2026-12-17 18:05:43.177 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-17 18:05:43.177 -0300|2025-12-17 18:05:43.177 -0300|ativo   |
|106|27.558    |50    |bonus                |         |2026-12-17 18:05:50.159 -0300|Pontos extras por comentar após pesquisa - 50 pontos                                                                                                            |2025-12-17 18:05:50.160 -0300|2025-12-17 18:05:50.160 -0300|ativo   |
|107|27.558    |50    |pesquisa_subcategoria|138      |2026-12-17 18:08:19.164 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-17 18:08:19.165 -0300|2025-12-17 18:08:19.165 -0300|ativo   |
|108|27.558    |55    |pesquisa_produto     |232      |2026-12-17 18:08:19.523 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-17 18:08:19.524 -0300|2025-12-17 18:08:19.524 -0300|ativo   |
|109|27.558    |50    |bonus                |         |2026-12-17 18:08:42.067 -0300|Pontos extras por comentar após pesquisa - 50 pontos                                                                                                            |2025-12-17 18:08:42.067 -0300|2025-12-17 18:08:42.067 -0300|ativo   |
